Year,NS
2022,11291810.0
2023,11291810.0
2024,11291810.0
2025,11291810.0
2026,11386600.0
2027,11424040.0
2028,11476180.0
2029,11464570.0
2030,11519010.0
2031,11564580.0
2032,11655810.0
2033,11739840.0
2034,11893940.0
2035,12124950.0
2036,12360310.0
2037,12529310.0
2038,12718290.0
2039,12902290.0
2040,13095450.0
2041,13225740.0
2042,13389400.0
2043,13527920.0
2044,13689950.0
2045,13799180.0
2046,13916130.0
2047,14012390.0
2048,14245070.0
2049,14318070.0
2050,14775280.0